lexeme.id,lexeme.entrada,lexeme.sinal,lexeme.lematizacao,lexeme.desambiguacao,lexeme.sinonimos,lexeme.exemplo_uso,lexeme.glosa,lexeme.video_sinal,lexeme.video_exemplo,lexeme.link_sinal,lexeme.link_exemplo,lexeme.status,lexeme.observacao,lexeme.is_active,lexeme.created_on,lexeme.created_by,lexeme.modified_on,lexeme.modified_by
162,,ATIVIDADE.2,,,,VOCÊ PRECISA FAZER A ATIVIDADE ATÉ AMANHÃ,VOCÊ PRECISA FAZER ATIVIDADE.2 ATÉ AMANHÃ,,,https://drive.google.com/file/d/1Cw2lNIGhx7doxFiYZlUVwiNpmiTcwX7j/view?usp=share_link,https://drive.google.com/file/d/1Cla01HAJVAZgS6FJdWrWMt4pnsJIKG1U/view?usp=share_link,OK,,,,,,
163,,ATOR/ATRIZ,,,,"TEM PRÊMIO COM ATORES DO FILME, O NOME DO FILME É CODA",TER UM@ FILME PRÊMIO PESSOAS DENTRO TER ATORES NOME FILME C_O_D_A CODA ,,,https://drive.google.com/file/d/1CkeMbCMUcsZqOMZwp-mvySMaSfbBOL4E/view?usp=share_link,https://drive.google.com/file/d/1Cf_WENktNfFr-SM-MOCDOtn21OTPjAZf/view?usp=share_link,OK,OBS: VERIFICAR OS MOVIMENTOS DE ATOR,,,,,
164,,ATRAPALHAR.1,,,,"EU ESTOU NA CHAMADA DE VÍDEO CONVERSANDO COM MEU AMIGO SURDO, MEU GATO ESTÁ ATRAPALHANDO ANDANDO NA FRENTE DA CÂMERA",EU CHAMADA_DE_VÍDEO MEU AMIG@ SURD@ CONVERSAR_EM_LIBRAS GATO ATRAPALHAR.1 CL:ANDAR,,,https://drive.google.com/file/d/1Cavw_ETkEHoYxJh9aLj2nhEqMlZrYqkT/view?usp=share_link,https://drive.google.com/file/d/1CYFW6lSpVCfpKzxrFjSACnL3FTjNBLNe/view?usp=share_link,OK,"OBS: VERIFICAR O VÍDEO NA PARTE DO GATO ANDANDO, E VÊ SE ESTÁ CORRETO ""CL:ANDAR"" ",,,,,
165,,ATRAPALHAR.2,,,,EU ESTAVA CONVERSANDO COM MEU MARIDO E MINHA FILHA VEIO NOS ATRAPALHAR,EU CONVERSAR MEU MARIDO MINHA FILHA ATRAPALHAR.2 ,,,https://drive.google.com/file/d/1CarH6kQyfTRikytayK0vH88riNYpw2Hv/view?usp=share_link,https://drive.google.com/file/d/1CUKwkezENMtxjzO3SNXrqpkc1URfqzXj/view?usp=share_link,OK,,,,,,
166,,ATRAPALHAR.3,,,,,MEU TRABALHO DENTRO EU TRABALHAR PAPEL CL:MUITO CAIR EU ATRAPALHAR.3,,,https://drive.google.com/file/d/1CaJPX8HbpfHr4tVw3o6B8NfJu4S50Jsp/view?usp=share_link,https://drive.google.com/file/d/1CTcqMcRpdY-o7nE3HluX-adWZS9mIXxl/view?usp=share_link,OK,,,,,,
167,,ATRÁS.1,,,,TENHO PISCINA QUE FICA ATRÁS DA MINHA CASA,MINHA CASA TER ATRÁS.1 PISCINA,,,https://drive.google.com/file/d/1CRXaSpzuE7fPTV3Wu58BHTw4_WfTs2Cw/view?usp=share_link,https://drive.google.com/file/d/1CPksZG_sNKagmChrebxXXoSgNKuaYfrG/view?usp=share_link,OK,,,,,,
168,,ATRÁS.2,,,,TEM UM APARTAMENTO QUE FICA ATRÁS DA CASA,CASA ATRÁS.2 APARTAMENTO,,,https://drive.google.com/file/d/1CQkc2nuPW7Jd1S3vudrr6L5bGscB5Vzv/view?usp=share_link,https://drive.google.com/file/d/1CJY7sJWNtKjpOwsfSorcA-QZCbnHgvog/view?usp=share_link,OK,,,,,,
169,,AUDITÓRIO,,,,HOJE VAI TER AUDITÓRIO NA CAMARA DE VEREADORES,HOJE TER AUDITÓRIO CAMARA_DE_VEREADORES,,,https://drive.google.com/file/d/1CH34hOC22FZEKh3b0-S9O4Q_VZ4l7QeH/view?usp=share_link,https://drive.google.com/file/d/1CFfhV0BUnrwH7aqHJu29RGNNk2oRGhsN/view?usp=share_link,OK,,,,,,
170,,AULA,,,,HOJE A AULA FOI DIFÍCIL,HOJE TER AULA DIFÍCIL,,,https://drive.google.com/file/d/1CEKVtyMVUR42tOMxnXs2ePySlpsSqJcX/view?usp=share_link,https://drive.google.com/file/d/1CDrkOFC8I0L_MaOQEzlLKDx_PtMwckt3/view?usp=share_link,OK,,,,,,
171,,AUMENTAR.1,,,,ESTÁ AUMENTANDO ALUNOS NA ESCOLA,ESCOLA ALUN@ AUMENTAR.1,,,https://drive.google.com/file/d/1C6cPNgLKA1pZkUt6LPnR4XbYTcwsSx60/view?usp=share_link,https://drive.google.com/file/d/1C4NBxLyVn9dHrau4seDoucc-yyhjHh_n/view?usp=share_link,OK,,,,,,
172,,AUMENTAR.2,,,,"ANTES TINHA POUCA COMIDA, AGORA AUMENTOU",ANTES COMIDA PEQUEN@ AGORA AUMENTAR.2,,,https://drive.google.com/file/d/1C56ZgNBb4OxSzq6X8LX5JNjCxmn588ak/view?usp=share_link,https://drive.google.com/file/d/1C1uxV8Vl_nWyjrQw-HEKVL2Lhn0rhNL4/view?usp=share_link,OK,"OBS: VERIFICAR AS CONFIGURAÇÕES DE MÃOS DO SINAL DE AUMENTAR,  O CORRETO QUE ESTÁ NO EXEMPLO",,,,,
173,,AUTOR.1,,,,O AUTOR VIRÁ AQUI NA ASSOCIAÇÃO,AUTOR.1 VIR ASSOCIAÇÃO,,,https://drive.google.com/file/d/1C-qqcP8n4CjqlKc_mj07HzLX7ssUEFs0/view?usp=share_link,https://drive.google.com/file/d/1Bt1CNOPHWO41YqZsBPpXDQ5q80ynyoQ3/view?usp=share_link,OK,,,,,,
174,,AUTOR.2,,,,O AUTOR DO LIVRO QUE EU GOSTO MUITO IRÁ NA PALESTRA,LIVRO AUTOR.2 EU GOSTAR VIR PALESTRA,,,https://drive.google.com/file/d/1Bu9_bmkg5RNnUqDbNTW8m7XEC4XAqrkM/view?usp=share_link,https://drive.google.com/file/d/1BrlMKfSp_1nOXv5RkqCVlvQG9xaFvcRF/view?usp=share_link,OK,,,,,,
175,,AVALIAR,,,,DEI AVALIAÇÃO DE PÉSSIMO PARA O MOTORISTA DA UBER,MOTORISTA UBER EU AVALIAR RUIM,,,https://drive.google.com/file/d/1BopjLsjFvznGh1av9MsZV_Jzb5MKQGnq/view?usp=share_link,https://drive.google.com/file/d/1Bmb3u-eqnlhe0UhYHycfx0oflqU_a23l/view?usp=share_link,OK,,,,,,
176,,AVE.1,,,,MEU AMIGO FOTOGRAFA AS AVES,MEU AMIG@ FOTOGRAFAR AVE.1,,,https://drive.google.com/file/d/1Bm6nWUte5tCn0XI25EPvOzPlNW0JScBX/view?usp=share_link,https://drive.google.com/file/d/1BkGVYDS92nNDU0dr4UdFCcyg5lCRxAjs/view?usp=share_link,OK,,,,,,
177,,AVE.2,,,,TEM ZOOLÓGICO SÓ DE AVES EM CACHOEIRA,CACHOEIRA TER ZOOLÓGICO PRÓPRIO ESPECÍFICAR AVE.2,,,https://drive.google.com/file/d/1BkwuflDfsQCjp-boZWQSi-k315MDyJPJ/view?usp=share_link,https://drive.google.com/file/d/1BhS262WC3v2sndCh2ZZ3hbktnc5qLVPh/view?usp=share_link,OK,,,,,,
178,,AVENTURA,,,,,,,,GRAVAR,GRAVAR,H I ,,,,,,
179,,AVIÃO,,,,"IREI VOAR DE AVIÃO PELA PRIMEIRA VEZ, QUE ALEGRIA",PRIMEIRA_VEZ AVIÃO ALEGRAR,,,https://drive.google.com/file/d/1Bh0rwBfOCOqNDlW6ve_CvTJCK0_oROBH/view?usp=share_link,https://drive.google.com/file/d/1BbB4Uj5MaQs6AH6S2S1U8UJkQeZfA8T-/view?usp=share_link,OK,,,,,,
180,,AVISAR.1,,,,,,,,?,,?,,,,,,
181,,AVISAR.2,,,,,,,,?,,?,,,,,,
182,,AVISAR.3,,,,,,,,?,,?,,,,,,
183,,AVISAR-ME,,,,,,,,?,,?,,,,,,
184,,AVÓ,,,,A AVÓ SEMPRE DÁ OS DOCES PARA NET@,AVÓ SEMPRE DAR DAR DAR DOCE NET@,,,https://drive.google.com/file/d/1B_T7oEDMj0BKOFVZRdZsom4V97a6WYa-/view?usp=share_link,https://drive.google.com/file/d/1BBvHTUBxqkG0wG9JOT83wD-ZtMwLVksf/view?usp=share_link,OK,,,,,,
185,,AVÔ,,,,AVÔ CONVIDOU PARA IR JUNTO COM ELE PARA PESCAR,AVÔ VAMOS JUNTO PESCAR ,,,https://drive.google.com/file/d/1BRNpduh-hDj3FpQScfGJC1L9vuw569cR/view?usp=share_link,https://drive.google.com/file/d/1B9RbjlJRh14lPsd7LBVNBPvwn254WWvd/view?usp=share_link,OK,,,,,,
186,,AZUL.1,,,,EU QUERIA TER OLHOS AZUIS,EU QUER OLHOS AZUL.1,,,https://drive.google.com/file/d/1AxuEpLu8F38_4e-DcUL2JMkl40w5G8Dt/view?usp=share_link,https://drive.google.com/file/d/1AbjnSwAh8dy1pKQ9yCm_CfM_KWZcVbsb/view?usp=share_link,OK,,,,,,
187,,AZUL.2,,,,"A ÁGUA DO MAR ESTÁ BEM AZUL, MUITO LINDO",PRAIA ÁGUA MAR LIND@ AZUL.2,,,https://drive.google.com/file/d/1AqZRkrmX97GnKeigu9ct9osPmrX2_MSU/view?usp=share_link,https://drive.google.com/file/d/1AQ_7nVTnu1_ONqCEh-Aqsbbbl9pWfIJl/view?usp=share_link,OK,,,,,,
188,,ÁGUA,,,,TOMARAM TODA ÁGUA,ÁGUA CL:ACABAR,,,https://drive.google.com/file/d/1APtP90iM1PyES6WGpknZ3tkpUhoHjJA_/view?usp=share_link,https://drive.google.com/file/d/1ABkxsZgT9DGIfUTUu3g_f5sCJ7rnj99S/view?usp=share_link,OK,,,,,,
189,,ÁREA,,,,EU TRABALHO NA ÁREA DE LINGUÍSTICA LIBRAS,EU TRABALHAR ÁREA LINGUÍSTICA LIBRAS,,,https://drive.google.com/file/d/1A8tGvCBblWLFmVA3_sTAlz1Wu9YWlh7G/view?usp=share_link,https://drive.google.com/file/d/1A7PBgcu3ZlF3Mqr0bHI4PkVkWeANPTi7/view?usp=share_link,OK,,,,,,
190,,ÁRVORE,,,,EU LEMBRO QUE A AVÓ TINHA UMA ÁRVORE DE GOIABA,EU LEMBRAR AVÓ TER ÁRVORE GOIABA CL:GOIABA_NA_ÁRVORE,,,https://drive.google.com/file/d/19uCnetUWL79_kTdq5CiQBS2uw33tf5Tl/view?usp=share_link,https://drive.google.com/file/d/19s_9LVrCvCSYXWmodVBvKtDS2UN36ODl/view?usp=share_link,OK,,,,,,
191,,ÁSPERO,,,,,,,,GRAVAR,GRAVAR,H I ,,,,,,
192,,BAIRRO,,,,FAZ UM MÊS QUE ME MUDEI PRO BAIRRO DE CENTRO,UM@ MÊS PASSAD@ EU MUDAR BAIRRO CENTRO,,,https://drive.google.com/file/d/1neIEwsRJuowC-9BOUgEHsfFZovdP-POm/view?usp=share_link,https://drive.google.com/file/d/1ccdgE807a6tCxwi64Fr9fkp1f11kDsw8/view?usp=share_link,OK,,,,,,
193,,BALÃO,,,,"MINHA IRMÃ TEM MEDO DO BALÃO, SE O BALÃO CHEGAR PERTO ELA FOGE",MINHA IRMÃ MEDO BARULHO BALÃO QUALQUER BALÃO PERTO FUGIR,,,https://drive.google.com/file/d/1iJVIb8vigogk5QjmwYkgoKJNhl719UQ9/view?usp=share_link,https://drive.google.com/file/d/1GOnUm0JEn27BgR14Al6KcRBLcg0kAl78/view?usp=share_link,OK,,,,,,
194,,BALEIA.1,,,,HOJE EU ESTAVA CAMINHANDO NO MAR E VI UMA BALEIA LINDA,HOJE EU CAMINHAR MAR VER BALEIA.1 LIND@,,,https://drive.google.com/file/d/1XQi2iPW8hXFcbha-s0QdNDnBoZnzoPc5/view?usp=share_link,https://drive.google.com/file/d/1t-NZ4SbLaRLwKJLy0cVev0UTbrx2yvdg/view?usp=share_link,OK,,,,,,
195,,BALEIA.2,,,,EU VI QUE TINHA GUINOMOS DE BALEIAS AZUIS NUMA LOJA,EU VI UM@ LOJA TER CL:GUINOMOS BALEIA.2 COR AZUL,,,https://drive.google.com/file/d/1pysChfrV8EtcE71XhORO9BDzBjRM3JKQ/view?usp=share_link,https://drive.google.com/file/d/15HDi15WrRVqCcP7-07S2OqR8nAcjb-L5/view?usp=share_link,OK,"OBS: ""GUINOMOS"" TEM QUE VER QUAL É A PALAVRA CORRETA",,,,,
196,,BANDEIRA,,,,"AS CORES DA BANDEIRA DO BRASIL SÃO AMARELO, AZUL E VERDE",BANDEIRA PAÍS BRASIL AMARELO AZUL VERDE,,,https://drive.google.com/file/d/133RIB0G1pZc7lJTEhCdiAFcjn1wllnyX/view?usp=share_link,https://drive.google.com/file/d/15biKB9fY2PSTbmKsZihJr5_qj36tQkcd/view?usp=share_link,OK,,,,,,
197,,BANHO,,,,,,,,VERIFICAR,VÍDEOS,H I,,,,,,
198,,BARCO,,,,"NA FAZENDA DO MEU AVÔ TEM UM RIO, DÁ PARA COMBINAR DE IR PESCAR NO BARCO",FAZENDA MEU AVÔ TER RIO DAR COMBINAR IR BARCO PESCAR,,,https://drive.google.com/file/d/1XFaNlGX1Nc_ooL-it0SvscYapR12-rqo/view?usp=share_link,https://drive.google.com/file/d/1H6vfHHFOUeSp8aTWHjfr0C3fJSFHbHk2/view?usp=share_link,OK,,,,,,
199,,BARULHO.1,,,,"NAS FÉRIAS, MEU VIZINH@ RECLAMOU DOS BARULHOS D@ MEU FILH@ EM CIMA DO APARTAMENTO",MEU FILH@ FÉRIAS MEU VIZINH@ RECLAMAR MEU FILH@ FAZER BARULHO.1 CIMA APARTAMENTO,,,https://drive.google.com/file/d/1MkzKwkEBnm6_OUEdu5w1WejKdbs7HD2q/view?usp=share_link,https://drive.google.com/file/d/1gF7R7m1bcd29ZLi2aERs-VUIckB1btE9/view?usp=share_link,OK,,,,,,
200,,BARULHO.2,,,,"MINHA IRMÃ FOI NA MINHA CASA, COMO EU NÃO ESCUTO NADA E ELA ME FALOU QUE ESTÁ FAZENDO BARULHO NA RUA",MINHA IRMÃ IR MINHA CASA EU OUVIR_NADA IRMÃ FALAR TER BARULHO.2 LÁ RUA,,,https://drive.google.com/file/d/1lNPQdXfHUssaFL3pPfkHBRAT6Y36p06j/view?usp=share_link,https://drive.google.com/file/d/1m1TL1zUUVVYl_rcZ9rFZPRjTl6V0uvfg/view?usp=share_link,OK,,,,,,
201,,BASE,,,,,,,,VERIFICAR,VÍDEOS,H I ,"OBS: OLHAR OS SINAIS DE ""BASE""",,,,,
202,,BATER.1,,,,EU ESTAVA EM CASA E A DIRETORA DA ESCOLA DO MEU FILHO ME LIGOU AVISANDO QUE MEU FILHO BATEU NO COLEGA E EU PRECISO IR LÁ,EU VIVO CASA LIGAR_ME AVISAR_ME DIRETOR@ ESCOLA MEU FILH@ MEU FILH@ BATER.1 OUTR@ COLEGA EU PRECISAR IR,,,https://drive.google.com/file/d/1L1Fump0L4545JAVdPP_iEH028y4nnQ_q/view?usp=share_link,https://drive.google.com/file/d/167DZihA3EwiDiT1JIPPUTUOsdp-46DrP/view?usp=share_link,OK,,,,,,
203,,BATER.2,,,,EU ESTAVA CAMINHANDO E VI UMA MULHER BATENDO DE UM HOMEM NA RUA,EU CAMINHAR EU VI MULHER BATER.2 HOMEM RUA,,,https://drive.google.com/file/d/1ElPeslxL9QAgj9k8U3G88auqD5cwosHP/view?usp=share_link,https://drive.google.com/file/d/1nr0PpzL3_gydYamYKLSZzRZtYw_2TUWn/view?usp=share_link,OK,,,,,,
204,,BATER_PORTA,,,,HOJE TINHA BASTANTE VENTO E BATEU A PORTA,HOJE VENTO PORTA BATER_PORTA,,,https://drive.google.com/file/d/1eLm04sDYrqqbVCcbYv-OuIcmTpx0Abtq/view?usp=share_link,https://drive.google.com/file/d/1ItN3EGWtE1yLlQKAa1Lq0euvRze00wZ8/view?usp=share_link,OK,,,,,,
205,,BEBÊ,,,,O BEBÊ CAGOU E A FRALDA ESTÁ FEDENDO,ESS@ BEBÊ CAGAR FRALDA FEDOR,,,https://drive.google.com/file/d/19JA0z8bvXj50CWglILNRZxY3eu4kGIgi/view?usp=share_link,https://drive.google.com/file/d/1mOqREyoxvnozbSiXl5QYUEFjgNhl3Z34/view?usp=share_link,OK,,,,,,
206,,BEIJAR.1,,,,"UM HOMEM VEIO EM MINHA DIREÇAO E ME BEIJOU NO ROSTO, EU LEVEI UM SUSTO E DEPOIS VI QUE ERA MEU AMIGO",RUA HOMEM CL:VIR BEIJAR.1 ME EU SUSTO DESCULPA É MEU AMIG@,,,https://drive.google.com/file/d/1Qv9VbkVtgN8oj5fgBaWScH2la2fUkEPj/view?usp=share_link,https://drive.google.com/file/d/1aBJ-oUUg4OPDF0olJHkSvffJS9K9G191/view?usp=share_link,OK,,,,,,
207,,BEIJAR.2,,,,TEM DOIS JOVENS BEIJANDO NA FRENTE DA IGREJA. QUE COISA,TER DOIS JOVEM BEIJAR.2 FRENTE IGREJA CL:MÃO_NA_CABEÇA COMO,,,https://drive.google.com/file/d/1Z5WJzFRf1J__EGv_jKLp9lDQpLmMu831/view?usp=share_link,https://drive.google.com/file/d/1RdtE9CD1D1T5ghn2ig5MlrcczXGhS2ea/view?usp=share_link,OK,,,,,,
208,,BEIJAR.3,,,,"ESTOU INDO EMBORA AGORA, TCHAU BEIJOS PARA TODO MUNDO",AGORA EU EMBORA CL:TCHAU BEIJAR.3 CL:TCHAU EMBORA,,,https://drive.google.com/file/d/1F6_X2HdLVJf9BztBDdKpFzDJZxzBg1Vq/view?usp=share_link,https://drive.google.com/file/d/1t7A2NsBc78r9rSBK-WzfPEpaEZ7Az-VF/view?usp=share_link,OK,,,,,,
209,,BEIJAR_SELINHO.1,,,,MINHA FILHA VEIO ME CONTAR QUE ELA DEU UM SELINHO N@ COLEGA DA ESCOLA,MINHA FILHA VIR CONTAR_ME EL@ BEIJAR_SELINHO.1 COLEGA DEL@ ESCOLA DENTRO,,,https://drive.google.com/file/d/1jU2gYqzWnIp-vkzXPinVMzkyKQJGNlHz/view?usp=share_link,https://drive.google.com/file/d/11sQpEuX-KCe3oIZz0_ZAcJU0JJHKn-Nf/view?usp=share_link,OK,,,,,,
210,,BEIJAR_SELINHO.2,,,,"NÓS SOMOS UM CASAL, A GENTE SEMPRE DÁ UNS SELINHOS",NÓS_DOIS CASAL NÓS_DOIS SEMPRE BEIJAR_SELINHO.2,,,GRAVAR,https://drive.google.com/file/d/16w5DhBCYVyZix2E-kJj9MhL2UZZw-Lo2/view?usp=share_link,H,,,,,,
211,,BEL@,,,,,,,,GRAVAR,GRAVAR,H I,,,,,,
212,,BEM_FEITO.1,,,,"UM@ AMIG@ CAIU, EU RI. BEM FEITO ",AMIG@ CAMINHAR CAIR EU RIR BEM_FEITO.1,,,https://drive.google.com/file/d/1f7QcUKpX7f1F9C2YBZ8azHtWFqkw294V/view?usp=share_link,https://drive.google.com/file/d/105ew9iznnSQaU692o-XvVvajY2miTrJk/view?usp=share_link,OK,,,,,,
213,,BEM_FEITO.2,,,,"BEM FEITO, VOCÊ FICAVA RECLAMANDO.",VOCÊ RECLAMAR AGORA BEM_FEITO.2,,,https://drive.google.com/file/d/1WXx_ddJFvkxt_ZERCETQztEH7noUamQ7/view?usp=share_link,https://drive.google.com/file/d/1vzAM-Yle0qlPxS-Lix_t0XNeOpefJYUc/view?usp=share_link,OK,,,,,,
214,,BENEFÍCIO.1,,,,HOJE EU RECEBI SALÁRIO DO BENEFÍCIO ,HOJE EU SALÁRIO BENEFÍCIO.1,,,https://drive.google.com/file/d/1JEcayhOKM2OxUQv0RwsyQ7cOW8cOhTMj/view?usp=share_link,https://drive.google.com/file/d/1ofpHnts1PF0GjevqvvJgWywspq-aDbCG/view?usp=share_link,OK,,,,,,
215,,BENEFÍCIO.2,,,,O MEU TRABALHO TEM MUITOS BENEFÍCIOS,MEU TRABALHO TER VÁRI@S BENEFÍCIO.2,,,https://drive.google.com/file/d/1d_-HEvgNvoTSf0CaImSP066z4Z1J8XxA/view?usp=share_link,https://drive.google.com/file/d/1VbvV3sbgyWXui3i-pFPxhj8j3ASgauBM/view?usp=share_link,OK,,,,,,
216,,BENEFÍCIO_VANTAGEM,,,,"COMPRAR UMA CASA, TEM BENEFÍCIO",COMPRAR CASA TER BENEFÍCIO_VANTAGEM,,,https://drive.google.com/file/d/1swIiF4iJkMdgAsjGj0BXwdo--JuQw9Z3/view?usp=share_link,https://drive.google.com/file/d/1towJdKMGQfrKBT8NcMd2i_1A2umdZBsM/view?usp=share_link,OK,,,,,,
217,,BIBLIOGRAFIA,,,,,,,,GRAVAR,GRAVAR,H I,,,,,,
218,,BIOLOGIA.1,,,,"QUANDO EU ESTUDAVA, ACHEI A DISCIPLINA DE BIOLOGIA MAIS DIFÍCIL",EU ESTUDAR ... DISCIPLINA BIOLOGIA.1 MAIS DIFÍCIL,,,https://drive.google.com/file/d/1nmFTur3ZJRZn99UJxpT-eKh3Lelz4VhG/view?usp=share_link,https://drive.google.com/file/d/1ds9i2S45DXI7B4dAqsAp6ujlt1HcLIn7/view?usp=share_link,OK,"OBS: TEM UM SINAL QUE NÃO SEI DE QUAL PALAVRA, POR ISSO COLOQUEI ""...""",,,,,
219,,BIOLOGIA.2,,,,FAZ POUCO TEMPO QUE ME FORMEI DE BIOLOGIA NA FACULDADE,POUCO ANTES EU FORMAR FACULDADE BIOLOGIA.2,,,https://drive.google.com/file/d/1DhY_X0duaDUQRaj2joXlGp9Werm4OqQM/view?usp=share_link,https://drive.google.com/file/d/18a5vnFqmsSJWDQywvfKLppTi92kBRdgZ/view?usp=share_link,OK,,,,,,
220,,BIOLOGIA.3,,,,EU ESTUDEI E LI UM ARTIGO SOBRE BIOLOGIA,EU ESTUDAR LER UM@ ARTIGO SOBRE BIOLOGIA.3,,,https://drive.google.com/file/d/1DB02ImYSE3GN9urgjIF5GbiT07SZg0kG/view?usp=share_link,https://drive.google.com/file/d/1Eu2LxMVg6_BqKCMP76RQZanLSH2OPI0O/view?usp=share_link,OK,,,,,,
221,,BIOLOGIA.4,,,,EU SOU PROFESSOR@ DE BIOLOGIA E TEM ALUNOS SURDOS,EU SOU PROFESSOR@ ENSINAR DISCIPLINA BIOLOGIA.4 TER ALUN@ CL:SENTAR_RODA SURD@,,,https://drive.google.com/file/d/1coGx6_trJ7ZzAUx4Aq2DeBT2efa8i8Si/view?usp=share_link,https://drive.google.com/file/d/1OarSHMzAiWDr4RBcK5EIVmC8pZILMzGh/view?usp=share_link,OK,,,,,,
222,,BISAV@,,,,AV@ E BISAV@ MORAM JUNTO COM MEUS PAIS ,CASA MEU PAIS MORAR DENTRO AV@ + BISAV@,,,https://drive.google.com/file/d/1TtqJ2RPES3_VYGgDmRDAkgmz6PXvTbBS/view?usp=share_link,https://drive.google.com/file/d/1qSNbrfbCeReZGTQPFgp7LoI8NzBro3Io/view?usp=share_link,OK,,,,,,
223,,BLUSA,,,,VOU PEGAR UMA BLUSA PARA LAVAR,IR PEGAR BLUSA CL:LAVAR,,,https://drive.google.com/file/d/1yIhiXHTa3FxcI7qrnugBHQy2qlI5Qpwv/view?usp=share_link,https://drive.google.com/file/d/1y4uNa7iIM_fQxxLwkcUZ3VW0EmI9PFTI/view?usp=share_link,OK,,,,,,
224,,BOBO.1,,,,"MEUS DOIS AMIGOS BRIGARAM, COISA DE BOBO",MEU AMIG@ DOIS BRIGAR BOBO.1,,,https://drive.google.com/file/d/1C_n2s3kyDSfJU03IslMmjijl7j8cfvSR/view?usp=share_link,https://drive.google.com/file/d/1JeFNT3TIju8mY863k4OapuEVsUCAoK0g/view?usp=share_link,OK,,,,,,
225,,BOBO.2,,,,VOCÊ É BOBO QUE SÓ FALA BOBAGEM,VOCÊ FALAR BOBAGEM BOBO.2,,,https://drive.google.com/file/d/1EPzEZGB4Il9HKBpMmKgX3jIRAhGl-43i/view?usp=share_link,https://drive.google.com/file/d/12sZcmDZuoQrhTjHXNBmOixYF-wXnC7ve/view?usp=share_link,OK,,,,,,
226,,BOCA,,,,"MINHA BOCA ESTÁ SECA, PRECISO PASSAR BATOM",BOCA SECAR EU PRECISAR BATOM,,,https://drive.google.com/file/d/1qJ_4YrNVRLle_ZoTCMCEGibiVkehP6dV/view?usp=share_link,https://drive.google.com/file/d/1pI6Vv4VUShGZ-lUdPnmgt4jY7U7bSQll/view?usp=share_link,OK,,,,,,
227,,BOI,,,,TENHO 3 BOIS NA MINHA CASA LÁ NA ROÇA,EU TER 3 BOI CASA ROÇA,,,https://drive.google.com/file/d/1TOqyIScZcYDhD5QOM_zi_0akIyeoMSvU/view?usp=share_link,https://drive.google.com/file/d/1cmrLBcthOG96KBazgpl-ruWly58ozQV6/view?usp=share_link,OK,,,,,,
228,,BOLA,,,,EU COMPREI UMA BOLA ROSA E DEI PR@ AFILHAD@,EU COMPRAR BOLA ROSA DAR AFILHAD@,,,https://drive.google.com/file/d/1sRg2vFCMf9Ez5CN8jNSd6CS8IVi3jstp/view?usp=share_link,https://drive.google.com/file/d/1R_h41bWfmr3dJhVg6izvrRWtYO6KwJ7-/view?usp=share_link,OK,,,,,,
229,,BOLO,,,,EU AMO BOLO DE CHOCOLATE,EU AMAR BOLO CHOCOLATE,,,https://drive.google.com/file/d/18f97Fsc-nmvkf111SHZ1qgkhJqXFzrPQ/view?usp=share_link,https://drive.google.com/file/d/1DgNflfl7-NYmDAkp-pGg4yMSV-chnPH9/view?usp=share_link,OK,,,,,,
230,,BOM,,,,EU TENHO UMA INDICAÇÃO DE UM BOM FILME,EU TER UM@ INDICAR BOM FILME ,,,https://drive.google.com/file/d/1KtYyl8y0o5S-eZ4cAdldf6Fi5o-VkKlZ/view?usp=share_link,https://drive.google.com/file/d/1B_EKpqWDxKhj-VLfr_9Jo9Zx-xR0JEbm/view?usp=share_link,OK,,,,,,
231,,BONIT@,,,,TEM AQUELA FLOR BONITA COR AMARELA,TER AQUEL@ FLOR BONIT@ COR AMARELO,,,https://drive.google.com/file/d/14ETje6wjCcGQvGbZeVsQh3SP1oaXnkJS/view?usp=share_link,https://drive.google.com/file/d/1XARlI49ltdX3z3jvPtwFuGEd3yf6dFmb/view?usp=share_link,OK,,,,,,
232,,BONIT@_DIMINUTIVO,,,,SEU FILH@ É BONITINH@,SEU FILH@ BONIT@_DIMINUTIVO,,,https://drive.google.com/file/d/1HL2sr5L8ibQFuPLuzv4dQNB5LGQ9Fexu/view?usp=share_link,https://drive.google.com/file/d/12jRXb8hQuDSWs-uNfs2Skt4a8o-Izy64/view?usp=share_link,OK,,,,,,
233,,BRAÇO,,,,EU JÁ QUEBREI O BRAÇO UMA VEZ,EU JÁ UMA_VEZ QUEBRAR BRAÇO,,,https://drive.google.com/file/d/1qqAiPc5MZKMNT7TU_HCmX0asoKJCpE0W/view?usp=share_link,https://drive.google.com/file/d/1YBVSwgT8Ex3RBme-5MvNJ7yHm__4Kv20/view?usp=share_link,OK,,,,,,
234,,BRANCO.1,,,,EU TENHO UM PAR DE TÊNIS BRANCO MAS ESTÁ SUJO,EU TER UM@ TÊNIS BRANCO.1 MAS SUJO,,,https://drive.google.com/file/d/1z3YfON35BCo2a6wS6gtEd7vSq6N7p3XU/view?usp=share_link,https://drive.google.com/file/d/1xN5LmZv4rgfgl8uQi4NHxxn1hJMiLRoK/view?usp=share_link,OK,,,,,,
235,,BRANCO.2,,,,EU NÃO GOSTO DE ROUPA BRANCA,EU NÃO_GOSTAR ROUPA COR BRANCO.2,,,https://drive.google.com/file/d/1FszLKiAs1G3u1P6xHdJbJamiNuO2BMg-/view?usp=share_link,https://drive.google.com/file/d/13C8xg9UQuzKTuccctuV5LptFclajLG_X/view?usp=share_link,OK,,,,,,
