lexeme.id,lexeme.entrada,lexeme.sinal,lexeme.lematizacao,lexeme.desambiguacao,lexeme.sinonimos,lexeme.exemplo_uso,lexeme.glosa,lexeme.video_sinal,lexeme.video_exemplo,lexeme.link_sinal,lexeme.link_exemplo,lexeme.status,lexeme.observacao,lexeme.is_active,lexeme.created_on,lexeme.created_by,lexeme.modified_on,lexeme.modified_by
80,,ALUN@.2,,,,OS ALUNOS PRECISAM FAZER O TRABALHO E ENTREGAR DE SEGUNDA À SEXTA,ALUN@.2 PRECISAR FAZER TRABALHO ENTREGAR SEGUNDA ATÉ SEXTA,,,GRAVAR,https://drive.google.com/file/d/1DafpYub_eQmEEGugKX5fJqWOrrspoFVK/view?usp=share_link,H,,,,,,
81,,AMANHÃ,,,,EU PRECISO VIAJAR AMANHÃ,AMANHÃ EU PRECISAR VIAJAR ,,,https://drive.google.com/file/d/1xImaBYFmOT-J4nkC5JqEQm8F497AoFct/view?usp=share_link,https://drive.google.com/file/d/1xG_IbhCjoZX6M7mWVsDhQVbqK5Jh07iU/view?usp=share_link,OK,,,,,,
82,,AMARELO,,,,EU NÃO GOSTO DE ROUPA AMARELA,EU NÃO_GOSTAR COR AMARELO ROUPA,,,https://drive.google.com/file/d/1xBMgnX3L5EDaeFv9ufy0VLzEi2UlrUSr/view?usp=share_link,https://drive.google.com/file/d/1x812yvcNHz5jdaABu15ikk-mC3geMSn9/view?usp=share_link,OK,,,,,,
83,,AMAZONAS,,,,AMAZONAS TEM BASTANTE ÁRVORES,AMAZONAS TER MUITOS ÁRVORES,,,https://drive.google.com/file/d/1x6UtQ96w7OYgLavHdUHhiBY2LjO2Nb17/view?usp=share_link,https://drive.google.com/file/d/1x1fq19So1Cd-I48QBiHwoJYnAdDDjr4o/view?usp=share_link,OK,,,,,,
84,,AMAZONIA,,,,PRECISAMOS PREVENIR A AMAZONIA,AMAZONIA PRECISAR PREVENIR ,,,https://drive.google.com/file/d/1x3GZHGnrlQHV1L5WJRdsMRhcdrESMH6M/view?usp=share_link,https://drive.google.com/file/d/1x-cM1io_J83HrNIIqKcRgkskmJX7a0yf/view?usp=share_link,OK,,,,,,
85,,AMBIENTE,,,,TEM UM AMBIENTE QUE OS SURDOS PODEM CONVERSAR EM LIBRAS,AMBIENTE TER LUGAR SURD@S PRECISAR CONVERSAR_SINALIZAD@S,,,https://drive.google.com/file/d/1wy712AAwKOUpazjkzyMRwyeQ2vqE7O-X/view?usp=share_link,https://drive.google.com/file/d/1wvVd1MtU83DVb114f84lZzJzZF9S9H5R/view?usp=share_link,OK,,,,,,
86,,AMBOS,,,,AMBOS TEM A MESMA ROUPA,AMB@S TER MESM@ ROUPA,,,https://drive.google.com/file/d/1wsnLHu9Yjj-KJAgunxkyAmmKcctX1uFG/view?usp=share_link,https://drive.google.com/file/d/1wrqbNw6wrxlwOPVdrB7wf-JxYMI3lJKm/view?usp=share_link,OK,,,,,,
87,,AMÉRICA,,,,VAMOS ESTUDAR SOBRE A AMÉRICA,VAMOS ESTUDAR SOBRE AMÉRICA,,,https://drive.google.com/file/d/1wnhHE1pcqLXhRzOZ-ZPibbS1N2S-ZkES/view?usp=share_link,https://drive.google.com/file/d/1wk70AJzeCoEitXO0bba61UiQdlvCVpya/view?usp=share_link,OK,,,,,,
88,,AMÉRICA CENTRAL,,,,AMÉRICA CENTRAL TEM PRAIAS LINDAS,AMÉRICA_CENTRAL TER PRAIA LIND@S,,,https://drive.google.com/file/d/1wTWZxyBGnlEjF2IrwrHg3sMhlkVc-7f8/view?usp=share_link,https://drive.google.com/file/d/1wRdjojcn-PhnI7zVDmsl0KcZsr_GHunk/view?usp=share_link,OK,,,,,,
89,,AMERICA_DO_SUL,,,,MEU AMIGO FOI TRILHAR NA AMÉRICA DO SUL,MEU AMIG@ TRILHAR AMÉRICA_DO_SUL,,,https://drive.google.com/file/d/1wcgZBHTTmDk5CJKE9yBIY67N4cgNbZPM/view?usp=share_link,https://drive.google.com/file/d/1wbZgnCP1gyZ_tfPs1Zu5K77UNeDkdaRV/view?usp=share_link,OK,,,,,,
